acceleration,topspeed,erange_real,efficiency,fastcharge_speed hidden,model,battery,car_link,car_oem,market_segment
7.0,180,520,165,800.0,ID.7,86.0,https://ev-database.org/car/1840/Volkswagen-ID7-Pro-S,Volkswagen,E
7.6,160,450,193,540.0,Ariya,87.0,https://ev-database.org/car/1302/Nissan-Ariya-87kWh,Nissan,C
5.1,185,385,192,1010.0,IONIQ,74.0,https://ev-database.org/car/1663/Hyundai-IONIQ-5-Long-Range-AWD,Hyundai,C
8.6,160,395,168,570.0,EQA,66.5,https://ev-database.org/car/1984/Mercedes-Benz-EQA-250,Mercedes-Benz,C
6.2,205,470,168,700.0,2,79.0,https://ev-database.org/car/1818/Polestar-2-Long-Range-Single-Motor,Polestar,D
9.7,150,290,160,460.0,e-C4,46.3,https://ev-database.org/car/1587/Citroen-e-C4,Citroen,C
5.2,185,400,185,1050.0,EV6,74.0,https://ev-database.org/car/1482/Kia-EV6-Long-Range-AWD,Kia,C
9.0,150,310,164,500.0,Avenger,50.8,https://ev-database.org/car/1816/Jeep-Avenger-Electric,Jeep,B
8.9,170,510,192,660.0,e-3008,98.0,https://ev-database.org/car/2005/Peugeot-e-3008-98-kWh-Long-Range,Peugeot,C
5.3,200,425,226,810.0,EV9,96.0,https://ev-database.org/car/1993/Kia-EV9-998-kWh-AWD-GT-Line,Kia,F
4.2,200,535,199,640.0,Ocean,106.5,https://ev-database.org/car/1710/Fisker-Ocean-Ultra,Fisker,D
3.9,180,325,191,500.0,#1,62.0,https://ev-database.org/car/1748/Smart-1-Brabus,Smart,B
9.7,140,170,176,170.0,MX-30,30.0,https://ev-database.org/car/1680/Mazda-MX-30,Mazda,C
3.8,200,400,176,600.0,ET7,70.5,https://ev-database.org/car/1751/NIO-ET7-75-kWh,NIO,F
6.7,180,335,185,520.0,#1,62.0,https://ev-database.org/car/1667/Smart-1-Proplus,Smart,B
3.6,180,360,178,540.0,EX30,64.0,https://ev-database.org/car/1911/Volvo-EX30-Twin-Motor-Performance,Volvo,B
4.0,200,500,180,520.0,ET5,90.0,https://ev-database.org/car/1787/NIO-ET5-100-kWh,NIO,E
4.5,250,495,220,1040.0,Eletre,109.0,https://ev-database.org/car/1767/Lotus-Eletre,Lotus,F
8.6,170,380,170,510.0,Countryman,64.7,https://ev-database.org/car/1994/Mini-Countryman-E,Mini,C
3.8,180,345,186,510.0,X,64.0,https://ev-database.org/car/1937/Zeekr-X-Privilege-AWD,Zeekr,B
6.5,180,425,175,430.0,MG4,74.4,https://ev-database.org/car/1973/MG-MG4-Electric-77-kWh,MG,C
6.0,180,480,179,770.0,ID.7,86.0,https://ev-database.org/car/2158/Volkswagen-ID7-Tourer-GTX,Volkswagen,E
6.9,160,320,200,480.0,Solterra,64.0,https://ev-database.org/car/1567/Subaru-Solterra-AWD,Subaru,C
8.5,185,295,183,720.0,IONIQ,54.0,https://ev-database.org/car/1476/Hyundai-IONIQ-5-Standard-Range-2WD,Hyundai,C
8.6,160,420,168,500.0,EQA,70.5,https://ev-database.org/car/1985/Mercedes-Benz-EQA-250plus,Mercedes-Benz,C
6.7,180,480,160,720.0,Enyaq,77.0,https://ev-database.org/car/2024/Skoda-Enyaq-Coupe-85,Skoda,C
10.0,150,255,176,260.0,DOLPHIN,44.9,https://ev-database.org/car/1917/BYD-DOLPHIN-449-kWh-Active,BYD,C
5.6,160,320,200,480.0,RZ,64.0,https://ev-database.org/car/1677/Lexus-RZ-450e,Lexus,D
5.6,180,380,170,510.0,iX2,64.7,https://ev-database.org/car/2040/BMW-iX2-xDrive30,BMW,C
6.5,160,335,236,520.0,ID.,79.0,https://ev-database.org/car/2156/Volkswagen-ID-Buzz-GTX,Volkswagen,N
